csv_file,total_rows,empty_rows,indian_rows
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-26-22.csv,30019,8943,272
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-26-03.csv,22340,7380,1115
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-11-18.csv,29804,9979,565
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-06-16.csv,24417,7368,431
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-18-02.csv,24182,8315,790
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-09-13.csv,16720,6269,353
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-03-02.csv,25788,8804,1150
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-04-07.csv,23901,7112,1826
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-23-16.csv,23460,7148,1031
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-26-11.csv,23034,7356,1179
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-04-02.csv,16038,5293,527
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-06-22.csv,28709,9230,298
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-02-21.csv,19611,6417,192
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-18-17.csv,25218,8064,995
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-21-21.csv,32201,11321,214
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-12-18.csv,24792,7732,726
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-18-03.csv,28904,10546,813
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-21-05.csv,23455,8312,610
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-29-16.csv,150591,50809,1318
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-03-14.csv,16229,5893,586
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-20-21.csv,27081,8360,255
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-08-07.csv,21648,6763,452
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-04-08.csv,15660,4629,1120
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-19-11.csv,4665,1641,116
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-28-07.csv,29804,9200,1447
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-14-21.csv,25373,8194,186
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-14-11.csv,24935,7559,1293
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-16-01.csv,19517,6645,395
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-18-09.csv,1986,673,61
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-04-00.csv,137736,45368,1128
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-07-07.csv,23347,7254,683
